																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
2	2,435	13169	1110																						
3	2,694	29461	1956																						
4	4,608	2995	208																						
5	4,925	8185	261																						
6	6,099	2301	137																						
7	7,784	4880	245																						
8	8,723	22822	1107																						
9	11,152	4632003	174232																						
10	13,439	6594	212																						
11	14,847	36126	1130																						
12	15,844	28656	806																						
13	18,815	134651	2522																						
Total		5078921	187107																						
																									
																									
																									
																									
																									
																									
Sample Name : GMP NHY 2																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,612	31451	3275																						
2	2,166	1500	161																						
3	2,865	37957	1369																						
4	3,53	1786108	254270																						
5	4,804	758984	17412																						
6	5,991	58396	3758																						
7	10,907	10366	407																						
8	12,231	4741	215																						
9	14,395	3704	154																						
10	17,052	20045	628																						
Total		2713253	281649																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,614	29891	3284																						
2	2,17	3548	199																						
3	2,867	38068	1374																						
4	3,532	1787831	254948																						
5	4,805	765182	17467																						
6	5,992	63191	3867																						
7	6,631	2168	114																						
8	10,912	9982	405																						
9	12,218	5256	230																						
10	14,387	3223	129																						
11	17,06	19836	630																						
Total		2728174	282646																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,623	7315	697																						
2	2,149	1993	148																						
3	2,44	1537	136																						
4	2,758	18241	1585																						
5	3,217	1151	119																						
6	3,518	2301	203																						
7	4,008	3216	204																						
8	4,147	1895	216																						
9	4,483	7220	396																						
10	4,608	2833	407																						
11	4,804	13500	438																						
12	6,014	3699	182																						
13	7,654	6099	295																						
14	8,549	25273	1246																						
15	10,931	4894942	192221																						
16	12,059	1003	42																						
17	13,158	7169	246																						
18	14,485	39430	1299																						
19	15,467	29592	888																						
20	18,394	146280	2799																						
Total		5214690	203766																						
																									
																									
																									
																									
																									
																									
Sample Name : branco																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,878	844181	83983																						
2	2,807	7839539	1005843																						
3	3,519	10526013	1451137																						
4	4,881	9036	417																						
5	5,967	255535	19207																						
6	8,394	3206	193																						
7	11,348	1636	97																						
8	12,158	34914	1475																						
9	14,347	3702	157																						
10	17,017	25220	751																						
Total		19542982	2563261																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,88	847871	84178																						
2	2,808	7844103	1007386																						
3	3,52	10593450	1447890																						
4	4,893	8127	405																						
5	5,969	254571	19181																						
6	8,399	3895	218																						
7	11,346	2124	95																						
8	12,155	35703	1485																						
9	14,34	2825	132																						
10	17,014	24857	753																						
Total		19617525	2561722																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
1	1,058	6953	218																						
2	1,192	2696	218																						
3	1,895	116358	11180																						
4	2,824	825045	61701																						
5	3,714	3693	206																						
6	5,887	10492	576																						
7	10,792	36446	1316																						
8	13,329	2338	112																						
9	17,517	66187	2117																						
10	18,005	49634	1585																						
Total		1119842	79229																						
																									
																									
																									
																									
Sample Name : 1 uM																									
																									
<Peak Table>																									
																									
UV Channel 1 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,521	14805	1103																						
2	1,898	3718	331																						
3	2,177	3350	267																						
4	2,444	1759	241																						
5	2,6	2221	238																						
6	2,867	8674	843																						
7	3,203	3628	235																						
8	3,542	105090	14633																						
9	3,987	2267	176																						
10	6,001	2153	149																						
11	11,041	133498	4507																						
12	14,467	1502	114																						
13	14,65	1457	114																						
14	15,553	1256	68																						
Total		285377	23020																						
																									
																									
UV Channel 2 215nm																									
Peak#	Ret. Time	Area	Height																						
1	1,521	15494	1111																						
2	1,898	4858	340																						
3	2,181	2597	281																						
4	2,433	1740	240																						
5	2,55	1971	238																						
6	2,869	9635	835																						
7	3,195	2608	225																						
8	3,544	105507	14600																						
9	6	2194	148																						
10	6,729	1955	95																						
11	11,042	133693	4499																						
12	14,492	1841	128																						
13	14,608	1337	116																						
14	15,49	2919	95																						
Total		288352	22953																						
																									
																									
RF Ex:373nm,Em:448nm																									
Peak#	Ret. Time	Area	Height																						
